Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,fips
THE MEDICAL CENTER AT FRANKLIN,181318,,,N,KY,1100 BROOKHAVEN ROAD,FRANKLIN,42135,SIMPSON,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,3,25,,25,25,,Yes,21
THE MEDICAL CENTER AT SCOTTSVILLE,181324,,,N,KY,456 BURNLEY ROAD,SCOTTSVILLE,42164,ALLEN,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,25,,25,25,,Yes,21
THE MEDICAL CENTER OF AURORA & SOUTH HOSPITAL,060100,HCA Healthcare,,N,CO,1501 S POTOMAC ST,AURORA,80012,ARAPAHOE,,,Proprietary,Acute Care Hospitals,West ,PPS,4,325,,346,346,312,Yes,08
THE MEDICAL CENTER OF SOUTHEAST TEXAS,450518,Steward Health Care,Cerberus Capital,N,TX,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,77640,JEFFERSON,,,Physician,Acute Care Hospitals,South ,PPS,3,185,,174,216,176,Yes,48
THE MIRIAM HOSPITAL,410012,,,N,RI,164 SUMMIT AVENUE,PROVIDENCE,2906,PROVIDENCE,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,5,246,,247,247,213,Yes,44
THE MONROE CLINIC,520028,,,N,WI,515 22ND AVE,MONROE,53566,GREEN,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,58,,100,100,55,Yes,55
THE NEBRASKA MEDICAL CENTER,280013,,,N,NE,987400 NEBRASKA MEDICAL CENTER,OMAHA,68198,DOUGLAS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,616,,689,689,549,Yes,31
THE NEBRASKA METHODIST HOSPITAL,280040,,,N,NE,8303 DODGE ST,OMAHA,68114,DOUGLAS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,5,356,,430,430,351,Yes,31
"THE NEUROMEDICAL CENTER REHABILITATION HOSPITAL, L",193090,,,N,LA,10101 PARK ROWE AVENUE,BATON ROUGE,70810,East Baton Rouge,,,For profit,Rehabilitation hospital,South ,,,,27,27,27,,,22
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,150168,Lutheran Health Network,,N,IN,7952 W JEFFERSON BLVD,FORT WAYNE,46804,ALLEN,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,Not Available,39,,44,44,37,No,18
THE ORTHOPEDIC SPECIALTY HOSPITAL,460049,,,N,UT,5848 SOUTH 300 EAST,MURRAY,84107,SALT LAKE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,Not Available,40,,40,40,40,No,49
"THE OUTER BANKS HOSPITAL, INC",341324,,,N,NC,4800 SOUTH CROATAN HIGHWAY,NAGS HEAD,27959,DARE,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,5,21,,19,19,,Yes,37
THE PAUL ROSENTHAL REHABILITATION CENTER AT NDH,33T049,,,N,NY,6511 SPRINGBROOK AVENUE,RHINEBECK,,Dutchess,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,36
THE PAVILION,144029,,,N,IL,809 W CHURCH ST,CHAMPAIGN,61820,CHAMPAIGN,,,Voluntary non-profit - Private,Psychiatric,Midwest ,,Not Available,,72,72,72,,No,17
THE PHYSICAL REHAB UNIT,20T039,,,N,ME,35 MEDICAL CENTER PARKWAY,AUGUSTA,,Kennebec,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,23
THE PHYSICIANS' HOSPITAL IN ANADARKO,371314,,,N,OK,1002 E CENTRAL BLVD,ANADARKO,73005,CADDO,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,25,,25,25,,Yes,40
THE QUAD CITIES REHABILITATION INSTITUTE,143032,Encompass Health,,N,IL,653 52ND AVE,MOLINE,,Rock Island,,,For profit,Rehabilitation hospital,Midwest ,,,,,,,,,17
THE QUEENS MEDICAL CENTER,120001,,,N,HI,1301 PUNCHBOWL ST,HONOLULU,96813,HONOLULU,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,RRC,4,674,,585,585,624,Yes,15
THE READING HOSPITAL AND MEDICAL CENTER,39T044,,,N,PA,2802 PAPERMILL RD,WYOMISSING,,Berks,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,42
THE REGIONAL MEDICAL CENTER,42T068,,,N,SC,3000 ST MATTHEWS RD,ORANGEBURG,,Orangeburg,,,Government,Rehabilitation hospital,South ,,,,,,,,,45
THE REHAB CENTER AT CANDLER,11T024,,,N,GA,5353 REYNOLDS ST.,SAVANNAH,,Chatham,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,13
THE REHAB CENTER AT COOKEVILLE RMC,44T059,,,N,TN,215 WEST 6TH STREET,COOKEVILLE,,Putnam,,,Government,Rehabilitation hospital,South ,,,,,,,,,47
THE REHAB CENTER AT ST. JOSEPHS,11T043,,,N,GA,11705 MERCY BLVD.,SAVANNAH,,Chatham,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,13
THE REHAB CTR @ CLARION HOSP,39T093,,,N,PA,ONE HOSPITAL DR,CLARION,,Clarion,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,42
THE REHAB UNIT AT BEAUFORT MEMORIAL HOSPITAL,42T067,,,N,SC,955 RIBAUT RD,BEAUFORT,,Beaufort,,,Government,Rehabilitation hospital,South ,,,,,,,,,45
THE REHABILITATION CENTER AT ST. CATHERINE HOSPITA,15T008,,,N,IN,4321 FIR STREET,EAST CHICAGO,,Lake,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,18
THE REHABILITATION HOSPITAL,10T012,,,N,FL,2776 CLEVELAND AVE,FORT MYERS,,Lee,,,Government,Rehabilitation hospital,South ,,,,,,,,,12
THE REHABILITATION INSTITUTE OF OHIO,363033,Encompass Health,,N,OH,835 SOUTH MAIN STREET,DAYTON,45402,MONTGOMERY,,,For profit,Rehabilitation hospital,Midwest ,,,,60,60,60,,,39
THE REHABILITATION INSTITUTE OF SOUTHERN ILLINOIS,143030,Encompass Health,,N,IL,2351 FRANK SCOTT PARKWAY EAST,SHILOH,,St. Clair,,,For profit,Rehabilitation hospital,Midwest ,,,,,,,,,17
"THE REHABILITATION INSTITUTE OF ST. LOUIS, AN AFFI",263028,Encompass Health,,N,MO,4455 DUNCAN AVE,SAINT LOUIS,63110,St. Louis City,,,For profit,Rehabilitation hospital,Midwest ,,,,131,131,131,,,29
THE RIDGE BEHAVIORAL HEALTH SYSTEM,184009,Universal Health Services,,N,KY,3050 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,,,Proprietary,Psychiatric,South ,,Not Available,,110,90,110,,No,21
THE SPINE HOSPITAL OF LOUISIANA,190266,,,N,LA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,70810,E. BATON ROUGE,,,Physician,Acute Care Hospitals,South ,PPS,Not Available,23,,23,23,23,No,22
THE STAMFORD HOSPITAL,07T006,,,N,CT,ONE HOSPITAL PLAZA,STAMFORD,,Fairfield,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,09
THE TRINITY REHABILITATION CENTER,36T211,,,N,OH,380 SUMMIT AVE,STEUBENVILLE,,Jefferson,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,39
THE UNIVERSITY HOSPITAL,310119,,,N,NJ,150 BERGEN ST,NEWARK,7103,ESSEX,,,Government - State,Acute Care Hospitals,Northeast ,PPS,1,351,,519,519,355,Yes,34
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,,,N,IL,5841 SOUTH MARYLAND,CHICAGO,60637,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,4,678,,633,633,631,Yes,17
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER,450690,,,N,TX,11937 US HIGHWAY 271,TYLER,75708,SMITH,,,Government - State,Acute Care Hospitals,South ,PPS,5,116,,182,182,103,Yes,48
THE UNIVERSITY OF VERMONT MEDICAL CENTER INPATIENT,47T003,,,N,VT,FANNY ALLEN CAMPUS,COLCHESTER,,Chittenden,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,50
THE VINES HOSPITAL,104071,Universal Health Services,,N,FL,3130 SW 27TH AVE,OCALA,34474,MARION,,,Proprietary,Psychiatric,South ,,Not Available,,98,98,98,,No,12
THE WASHINGTON HOSPITAL,39T042,,,N,PA,155 WILSON AVENUE,WASHINGTON,,Washington,,,Non-profit,Rehabilitation hospital,Northeast ,,,,,,,,,42
THE WILLIAM J MCCORD ADOLESCENT TREATMENT FACILITY,424013,,,N,SC,910 COOK ROAD,ORANGEBURG,29118,,,,,Psychiatric,South ,,,,,15,15,,,45
THE WOODLANDS SPECIALTY HOSPITAL,670267,,,N,TX,25440 INTERSTATE 45 NORTH,SPRING,77386,MONTGOMERY,,,Physician,Acute Care Hospitals,South ,PPS,Not Available,6,,4,4,6,Yes,48
THEDACARE MEDICAL CENTER - NEW LONDON,521326,,,N,WI,1405 MILL ST,NEW LONDON,54961,WAUPACA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,15,15,,Yes,55
THEDACARE MEDICAL CENTER - SHAWANO,521346,,,N,WI,100 COUNTY RD B,SHAWANO,54166,SHAWANO,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,4,25,,25,25,,Yes,55
THEDACARE MEDICAL CENTER - WILD ROSE,521303,,,N,WI,601 GROVE AVE,WILD ROSE,54984,WAUSHARA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,55
THEDACARE MEDICAL CENTER-WAUPACA,521334,,,N,WI,800 RIVERSIDE DRIVE,WAUPACA,54981,WAUPACA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,55
THEDACARE REGIONAL MED CTR - NEENAH,520045,,,N,WI,130 2ND ST,NEENAH,54956,WINNEBAGO,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,139,,182,182,129,Yes,55
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,,,N,WI,1818 N MEADE ST,APPLETON,54911,OUTAGAMIE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,147,,160,160,139,Yes,55
THEDACARE REGIONAL MEDICAL CENTER-NEENAH,52T045,,,N,WI,130 SECOND ST,NEENAH,,Winnebago,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,55
THIBODAUX REGIONAL MEDICAL CENTER,190004,,,N,LA,602 N ACADIA ROAD,THIBODAUX,70301,LAFOURCHE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,164,,210,210,144,Yes,22
THIBODAUX REGIONAL MEDICAL CENTER,19T004,,,N,LA,602 NORTH ACADIA ROAD,THIBODAUX,,Lafourche,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,22
THOMAS B FINAN CENTER,214012,,,N,MD,"10102 COUNTRY CLUB ROAD,  POST OFFICE BOX 1722",CUMBERLAND,21502,ALLEGANY,,,Government - Local,Psychiatric,South ,,Not Available,,88,119,119,,No,24
THOMAS H BOYD MEMORIAL HOSPITAL,141300,,,N,IL,800 SCHOOL ST,CARROLLTON,62016,GREENE,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,17
THOMAS HOSPITAL,010100,,,N,AL,750 MORPHY AVENUE,FAIRHOPE,36532,BALDWIN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,4,129,,162,162,122,Yes,01
THOMAS HOSPITAL,01T100,,,N,AL,750 MORPHY AVENUE,FAIRHOPE,,Baldwin,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,01
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,,,N,PA,111 SOUTH 11TH STREET,PHILADELPHIA,19107,PHILADELPHIA,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,834,,743,925,812,Yes,42
THOMAS MEMORIAL HOSPITAL,510029,,,N,WV,4605 MACCORKLE AVENUE SW,SOUTH CHARLESTON,25309,KANAWHA,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,176,,266,266,148,Yes,54
THOMASVILLE REGIONAL MEDICAL CENTER,010174,,,N,AL,300 MED PARK DRIVE,THOMASVILLE,36784,CLARKE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,Not Available,29,,29,29,29,Yes,01
THOREK MEMORIAL HOSPITAL,140115,,,N,IL,850 W IRVING PARK RD,CHICAGO,60613,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,Not Available,156,,218,218,154,Yes,17
THREE RIVERS BEHAVIORAL HEALTH,424008,Universal Health Services,,N,SC,2900 SUNSET BOULEVARD,WEST COLUMBIA,29169,LEXINGTON,,,Proprietary,Psychiatric,South ,,Not Available,,122,122,122,,No,45
THREE RIVERS HEALTH,230015,,,N,MI,701 S HEALTH PARKWAY,THREE RIVERS,49093,ST. JOSEPH,,,Government - Hospital District or Authority,Acute Care Hospitals,Midwest ,PPS,3,48,,60,60,45,No,26
THREE RIVERS HEALTH REHAB PAVILION,23T015,,,N,MI,701 SOUTH HEALTH PARKWAY,THREE RIVERS,,St. Joseph,,,Government,Rehabilitation hospital,Midwest ,,,,,,,,,26
THREE RIVERS HOSPITAL,501324,,,N,WA,507 HOSPITAL WAY,BREWSTER,98812,OKANOGAN,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,25,,25,43,,Yes,53
THROCKMORTON COUNTY MEMORIAL HOSPITAL,451339,,,N,TX,802 N MINTER AVENUE,THROCKMORTON,76483,THROCKMORTON,,,Government - Local,Critical Access Hospitals,South ,CAH,Not Available,14,,14,14,,Yes,48
"TIDALHEALTH NANTICOKE, INC.",080006,,,N,DE,801 MIDDLEFORD RD,SEAFORD,19973,SUSSEX,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH/RRC,3,94,,119,119,87,Yes,10
TIDELANDS GEORGETOWN MEMORIAL HOSPITAL,420020,,,N,SC,606 BLACK RIVER RD DRAWER 1718,GEORGETOWN,29440,GEORGETOWN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,2,131,,131,131,126,Yes,45
TIDELANDS HEALTH REHABILITATION HOSPITALS,423033,,,N,SC,"4070 HIGHWAY 17 BYPASS SOUTH, 4TH FLOOR",MURRELLS INLET,29576,Georgetown,,,For profit,Rehabilitation hospital,South ,,,,75,29,29,,,45
TIDELANDS WACCAMAW COMMUNITY HOSPITAL,420098,,,N,SC,4070 HWY 17,MURRELLS INLET,29576,HORRY,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,3,124,,124,124,115,Yes,45
TIFT REGIONAL MEDICAL CENTER,110095,,,N,GA,901 E 18TH STREET,TIFTON,31793,TIFT,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,RRC,2,181,,176,176,158,Yes,13
TIMPANOGOS REGIONAL HOSPITAL,460052,HCA Healthcare,,N,UT,750 WEST 800 NORTH,OREM,84057,UTAH,,,Proprietary,Acute Care Hospitals,West ,PPS,3,117,,122,122,119,Yes,49
TIOGA MEDICAL CENTER,351300,,,N,ND,810 N WELO ST,TIOGA,58852,WILLIAMS,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,38
TIPPAH COUNTY HOSPITAL,251337,,,N,MS,1005 CITY AVE NORTH,RIPLEY,38663,TIPPAH,,,Government - Local,Critical Access Hospitals,South ,CAH,4,25,,25,45,,Yes,28
TIRR MEMORIAL HERMANN,453025,Memorial Hermann,,N,TX,1333 MOURSUND AVE,HOUSTON,77030,Harris,,,Non-profit,Rehabilitation hospital,South ,,,,134,134,134,,,48
TISHOMINGO HEALTH SERVICES INC,250002,,,N,MS,1777 CURTIS DRIVE,IUKA,38852,TISHOMINGO,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH,5,48,,48,48,40,Yes,28
TITUS REGIONAL MEDICAL CENTER,450080,,,N,TX,2001 N JEFFERSON,MOUNT PLEASANT,75455,TITUS,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,SCH/RRC,3,49,,165,165,42,Yes,48
TITUS REGIONAL MEDICAL CENTER,45T080,,,N,TX,2001 N. JEFFERSON,MT. PLEASANT,,Franklin,,,Government,Rehabilitation hospital,South ,,,,,,,,,48
TITUSVILLE HOSPITAL,391314,,,N,PA,406 WEST OAK STREET,TITUSVILLE,16354,CRAWFORD,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,3,25,,21,25,,Yes,42
TJ HEALTH COLUMBIA,180149,,,N,KY,901 WESTLAKE DRIVE,COLUMBIA,42728,ADAIR,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,MDH,Not Available,49,,77,77,48,Yes,21
TMC- BONHAM HOSPITAL,451370,,,N,TX,504 LIPSCOMB STREET,BONHAM,75418,FANNIN,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,21,,25,25,,Yes,48
TOGUS VA MEDICAL CENTER,20003F,,,N,ME,1 VA CENTER,AUGUSTA,,KENNEBEC,,,Veterans Health Administration,Acute Care - Veterans Administration,Northeast ,,4,,,,,,Yes,23
TOMAH MEMORIAL HOSPITAL,521320,,,N,WI,501 GOPHER DR,TOMAH,54660,MONROE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,15,15,,Yes,55
TOMAH VA MEDICAL CENTER,52002F,,,N,WI,500 EAST VETERANS STREET,TOMAH,,MONROE,,,Veterans Health Administration,Acute Care - Veterans Administration,Midwest ,,Not Available,,,,,,No,55
TOMBALL REGIONAL MEDICAL CTR,45T670,HCA Healthcare,,N,TX,605 HOLDERRIETH BLVD,TOMBALL,,Harris,,,For profit,Rehabilitation hospital,South ,,,,,,,,,48
TOPS SURGICAL SPECIALTY HOSPITAL,450774,,,N,TX,17080 RED OAK DRIVE,HOUSTON,77090,HARRIS,,,Physician,Acute Care Hospitals,South ,PPS,Not Available,15,,15,15,15,No,48
TORII BEHAVIORAL HEALTH,364045,Sequel Youth & Family Services,,N,OH,765 PIERCE DRIVE,COLUMBUS,43223,FRANKLIN,,,Proprietary,Psychiatric,Midwest ,,,,,10,20,,No,39
TORRANCE MEMORIAL MEDICAL CENTER,050351,,,N,CA,3330 LOMITA BLVD,TORRANCE,90509,LOS ANGELES,,,Voluntary non-profit - Other,Acute Care Hospitals,West ,PPS,4,493,,380,380,493,Yes,06
TORRANCE STATE HOSPITAL,394026,,,N,PA,121 LONGVIEW DRIVE,TORRANCE,15779,WESTMORELAND,,,Government - State,Psychiatric,Northeast ,,Not Available,,357,357,357,,No,42
TOTALLY KIDS REHABILITATION HOSPITAL,053038,,,N,CA,1720 MOUNTAIN VIEW AVENUE,LOMA LINDA,92354,San Bernardino,,,For profit,Rehabilitation hospital,West ,,,,,25,25,,,06
TOUCHETTE REGIONAL HOSPITAL INC,140077,,,N,IL,5900 BOND AVENUE,CENTREVILLE,62207,ST. CLAIR,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,Not Available,123,,109,109,121,Yes,17
TOURO INFIRMARY,190046,,,N,LA,1401 FOUCHER STREET,NEW ORLEANS,70115,ORLEANS,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,260,,352,352,232,Yes,22
TOURO REHABILITATION CENTER,19T046,,,N,LA,1401 FOUCHER STREET,NEW ORLEANS,,Orleans,,,Non-profit,Rehabilitation hospital,South ,,,,,,,,,22
TOWER BEHAVIORAL HEALTH,394056,Tower Health/Acadia Healthcare,,N,PA,201 WELLNESS WAY,READING,19605,BERKS,,,Proprietary,Psychiatric,Northeast ,,Not Available,,144,144,144,,No,42
TOWNER COUNTY MEDICAL CENTER,351331,,,N,ND,7448 HWY 281 N,CANDO,58324,TOWNER,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,20,,20,20,,Yes,38
TOWNSEN MEMORIAL HOSPITAL,670266,,,N,TX,1475 FM 1960 BYPASS E,HUMBLE,77338,HARRIS,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,Not Available,5,,5,5,1,No,48
TRACE REGIONAL HOSPITAL AND SWING BED,250017,Sunlink Health Systems,,N,MS,1002 EAST MADISON STREET,HOUSTON,38851,CHICKASAW,,,Proprietary,Acute Care Hospitals,South ,MDH,Not Available,39,,84,84,35,No,28
"TRANSYLVANIA REGIONAL HOSPITAL, INC",341319,,,N,NC,90 HOSPITAL DRIVE PO BOX 1116,BREVARD,28712,TRANSYLVANIA,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,5,25,,25,25,,Yes,37
TREASURE VALLEY HOSPITAL,130063,Surgical Care Affiliates,,N,ID,8800 WEST EMERALD STREET,BOISE,83704,ADA,,,Proprietary,Acute Care Hospitals,West ,PPS,Not Available,15,,20,20,8,No,16
TREGO COUNTY LEMKE MEMORIAL HOSPITAL,171355,,,N,KS,320 N THIRTEENTH ST,WA KEENEY,67672,TREGO,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,20
TRENTON PSYCHIATRIC HOSP,314013,,,N,NJ,STATION A,TRENTON,8625,MERCER,,,Government - State,Psychiatric,Northeast ,,Not Available,,400,350,436,,Yes,34
TRI COUNTY HOSPITAL,241354,,,N,MN,415 JEFFERSON STREET NORTH,WADENA,56482,WADENA,,,Voluntary non-profit - Other,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,49,,Yes,27
TRI VALLEY HEALTH SYSTEM,281348,,,N,NE,1305 WEST HIGHWAY 6/34,CAMBRIDGE,69022,FURNAS,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,20,,25,25,,Yes,31
TRI-CITY MEDICAL CENTER,050128,,,N,CA,4002 VISTA WAY,OCEANSIDE,92056,SAN DIEGO,,,Government - Hospital District or Authority,Acute Care Hospitals,West ,PPS,3,316,,397,397,278,Yes,06
TRI-CITY MEDICAL CENTER,05T128,,,N,CA,4002 VISTA WAY,OCEANSIDE,,San Diego,,,Government,Rehabilitation hospital,West ,,,,,,,,,06
TRI-STATE MEMORIAL HOSPITAL,501332,,,N,WA,1221 HIGHLAND AVENUE,CLARKSTON,99403,ASOTIN,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,53
TRIDENT MEDICAL CENTER,420079,HCA Healthcare,,N,SC,9330 MEDICAL PLAZA DR,CHARLESTON,29406,CHARLESTON,,,Proprietary,Acute Care Hospitals,South ,PPS,2,419,,497,497,421,Yes,45
TRIDENT MEDICAL CENTER,42T079,HCA Healthcare,,N,SC,9330 MEDICAL PLAZA DR,CHARLESTON,,Charleston,,,For profit,Rehabilitation hospital,South ,,,,,,,,,45
TRIGG COUNTY HOSPITAL,181304,,,N,KY,254 MAIN STREET,CADIZ,42211,TRIGG,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,25,,25,25,,Yes,21
TRIHEALTH REHABILITATION HOSPITAL LLC,363041,Select Medical Holdings,,N,OH,2155 DANA AVENUE,CINCINNATI,45207,Hamilton,,,For profit,Rehabilitation hospital,Midwest ,,,,60,60,60,,,39
TRINITAS REGIONAL MEDICAL CENTER,310027,,,N,NJ,225 WILLIAMSON STREET,ELIZABETH,7207,UNION,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,1,220,,384,384,220,Yes,34
TRINITY - BETTENDORF,160104,,,N,IA,4500 UTICA RIDGE ROAD,BETTENDORF,52722,SCOTT,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,86,,150,150,87,Yes,19
TRINITY HEALTH ANN ARBOR HOSPITAL,230156,,,N,MI,5301 E HURON RIVER DR,ANN ARBOR,48106,WASHTENAW,,,Voluntary non-profit - Church,Acute Care Hospitals,Midwest ,PPS,5,450,,505,505,437,Yes,26
TRINITY HEALTH GRAND HAVEN HOSPITAL,230174,Trinity Health,,N,MI,1309 SHELDON RD,GRAND HAVEN,49417,OTTAWA,,,Government - Hospital District or Authority,Acute Care Hospitals,Midwest ,PPS,4,36,,81,81,80,Yes,26
TRINITY HEALTH OAKLAND HOSPITAL,230029,,,N,MI,44405 WOODWARD AVE,PONTIAC,48341,OAKLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,4,380,,395,395,376,Yes,26
TRINITY HOSPITAL,271341,,,N,MT,315 KNAPP ST,WOLF POINT,59201,ROOSEVELT,,,Voluntary non-profit - Private,Critical Access Hospitals,West ,CAH,Not Available,22,,22,22,,Yes,30
TRINITY HOSPITAL,051315,,,N,CA,60 EASTER AVENUE,WEAVERVILLE,96093,TRINITY,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,25,,25,25,,Yes,06
TRINITY HOSPITALS,350006,,,N,ND,407 3RD ST SE,MINOT,58701,WARD,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH/RRC,2,152,,416,416,136,Yes,38
TRINITY KENMARE COMMUNITY HOSPITAL,351305,,,N,ND,PO BOX 697,KENMARE,58746,WARD,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,25,,25,25,,Yes,38
TRINITY MEDICAL CTR EAST &TRINITY MEDICAL CTR WEST,360211,,,N,OH,380 SUMMIT AVENUE,STEUBENVILLE,43952,JEFFERSON,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,RRC,1,193,,519,519,150,Yes,39
TRINITY MUSCATINE,160013,,,N,IA,1518 MULBERRY AVENUE,MUSCATINE,52761,MUSCATINE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH,4,29,,80,80,36,Yes,19
TRINITY REGIONAL HOSPITAL SACHSE,670319,,,N,TX,4750 PRESIDENT GEORGE BUSH HIGHWAY,SACHSE,,DALLAS,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,,Not Available,,,,,,Yes,48
TRINITY REGIONAL MEDICAL CENTER,160016,,,N,IA,802 KENYON RD,FORT DODGE,50501,WEBSTER,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH/RRC,3,40,,174,174,36,Yes,19
TRINITY REHABCARE CENTER,35T006,,,N,ND,407 3RD ST. SE,MINOT,,Ward,,,Non-profit,Rehabilitation hospital,Midwest ,,,,,,,,,38
TRINITY ROCK ISLAND,140280,,,N,IL,2701 17TH ST,ROCK ISLAND,61201,ROCK ISLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,2,296,,71,71,285,Yes,17
Tripler AMC (FT Shafter),12001F,,,N,HI,1 Jarrett White Rd,Honolulu,96859,HONOLULU,,,Department of Defense,Acute Care - Department of Defense,West ,,Not Available,,,,,,Yes,15
TRISTAR ASHLAND CITY MEDICAL CENTER,441311,HCA Healthcare,,N,TN,313 NORTH MAIN ST,ASHLAND CITY,37015,CHEATHAM,,,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,0,,12,12,,Yes,47
TRISTAR CENTENNIAL MEDICAL CENTER,440161,HCA Healthcare,,N,TN,2300 PATTERSON STREET,NASHVILLE,37203,DAVIDSON,,,Proprietary,Acute Care Hospitals,South ,PPS,5,641,,733,733,539,Yes,47
